image_id,game_id,name,release_date,rating,genres,player_perspectives,platforms
hircn6ewsgu70ynlzis5,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
sojdbdt93e06wojplpsj,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
dbbtmdz0q1536npbpr5o,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqe,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqf,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqg,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqh,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqi,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqj,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
scgoqk,732,Grand Theft Auto: San Andreas,1098748800,90.3554616020152,"Shooter, Racing, Adventure","First person, Third person","[11, 9, 48, 34, 6, 39, 14, 12, 8]"
schmyk,207021,Final Fantasy VII,898646400,89.96292571207071,"Role-playing (RPG), Turn-based strategy (TBS), Adventure","Third person, Bird view / Isometric",[6]
